"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-05","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","12.1","","","","1"
"2020-06","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","12.0","","","","1"
"2020-07","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","8.6","","","","1"
"2020-08","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","7.8","","","","1"
"2020-09","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","6.9","","","","1"
"2020-10","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","6.5","","","","1"
"2020-11","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","5.7","","","","1"
"2020-12","Sherbrooke, Quebec","2011S0503433","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445941","13.5.1.2","5.2","","","","1"
"2020-01","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","5.2","","","","1"
"2020-02","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","5.0","","","","1"
"2020-03","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","7.2","","","","1"
"2020-04","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","10.8","","","","1"
"2020-05","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","13.6","","","","1"
"2020-06","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","12.9","","","","1"
"2020-07","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","9.4","","","","1"
"2020-08","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","7.5","","","","1"
"2020-09","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","6.2","","","","1"
"2020-10","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","5.9","","","","1"
"2020-11","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","5.2","","","","1"
"2020-12","Trois-Rivières, Quebec","2011S0503442","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445955","14.5.1.2","5.4","","","","1"
"2020-01","Montréal, Quebec","2011S0503462","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445969","15.5.1.2","5.6","","","","1"
"2020-02","Montréal, Quebec","2011S0503462","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445969","15.5.1.2","5.5","","","","1"
"2020-03","Montréal, Quebec","2011S0503462","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445969","15.5.1.2","6.7","","","","1"
"2020-04","Montréal, Quebec","2011S0503462","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445969","15.5.1.2","10.7","","","","1"
"2020-05","Montréal, Quebec","2011S0503462","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445969","15.5.1.2","14.1","","","","1"
"2020-06","Montréal, Quebec","2011S0503462","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445969","15.5.1.2","15.0","","","","1"
